time,temperature_2m_max,temperature_2m_min,precipitation_sum
2026-03-30,24.3,21.2,0.0
2026-03-31,23.1,20.2,4.7
2026-04-01,23.4,21.2,0.0
2026-04-02,23.6,20.1,0.0
2026-04-03,25.7,20.8,0.0
2026-04-04,27.5,22.8,0.0
2026-04-05,24.2,22.2,0.0
